date	power	latitude	longitude
09.11.27 10:34	2.4	37.69 N	129.57 E
09.11.17 5:38	2.3	36.07 N	126.93 E
09.11.14 21:27	2.5	34.81 N	127.93 E
09.11.14 5:28	2.4	35.66 N	126.91 E
09.11.5 4:31	2.7	38.42 N	124.87 E
09.10.16 13:12	2.3	33.4 N	127.29 E
09.10.4 12:00	2.5	39.38 N	126.05 E
09.10.1 21:30	2.9	38.12 N	126.02 E
09.8.25 23:08	2.4	37.69 N	124.55 E
09.8.21 23:02	3.8	38.82 N	125.79 E
09.8.17 15:24	2.4	36.54 N	129.6 E
09.8.15 3:18	2.6	36.52 N	129.61 E
09.7.30 9:27	2.6	35.85 N	126.29 E
09.7.17 13:14	2.5	38.45 N	126.15 E
09.7.15 4:04	3	35.14 N	125.1 E
09.7.1 8:55	2.6	37.84 N	124.94 E
09.6.29 11:52	2.7	37.14 N	126.0 E
09.6.28 22:07	3	35.78 N	128.29 E
09.6.25 13:06	2.2	39.31 N	126.06 E
09.6.20 21:14	2.2	38.03 N	126.62 E
09.6.20 4:05	2.9	37.09 N	124.74 E
09.6.6 1:56	2.4	35.09 N	125.06 E
09.6.6 0:49	2.8	38.63 N	127.44 E
09.6.3 20:09	2.9	38.57 N	126.5 E
09.6.3 15:56	2.4	33.19 N	126.33 E
09.5.31 15:24	2.3	38.6 N	126.43 E
09.5.31 0:10	2.5	33.52 N	125.85 E
09.5.26 18:59	2.2	36.57 N	129.22 E
09.5.25 18:12	2.4	36.95 N	129.33 E
09.5.15 22:41	2.4	36.59 N	126.41 E
09.5.14 20:50	2.2	36.25 N	127.13 E
09.5.2 12:28	2.9	36.57 N	128.71 E
09.5.2 7:58	4	36.56 N	128.71 E
09.4.29 12:15	2.9	33.43 N	127.36 E
09.4.21 17:44	2	35.45 N	128.22 E
09.4.18 20:19	2.5	33.39 N	127.07 E
09.4.14 4:51	2.5	38.45 N	125.65 E
09.4.2 20:28	3	37.6 N	125.95 E
09.3.30 5:58	2.3	36.21 N	128.08 E
09.3.26 22:21	2.9	38.11 N	127.13 E
09.3.26 2:32	2.3	33.38 N	127.14 E
09.3.2 14:20	3.4	37.11 N	124.6 E
09.2.26 20:53	2.2	36.94 N	129.36 E
09.2.26 15:03	2.7	35.03 N	129.59 E
09.2.23 21:47	2.8	37.13 N	126.01 E
09.2.19 0:01	2.3	39.72 N	126.89 E
09.2.15 22:41	3	35.76 N	125.71 E
09.2.15 12:57	2.3	35.85 N	127.72 E
09.2.12 17:46	3.2	35.26 N	127.44 E
09.1.13 19:07	3	36.47 N	129.64 E
09.1.9 20:53	3.2	38.73 N	125.82 E
09.1.5 2:59	2.1	33.47 N	127.64 E
09.1.2 8:15	2.2	33.94 N	127.67 E
09.1.1 15:58	2.5	36.5 N	129.08 E
09.1.1 6:45	2.1	36.31 N	128.35 E
08.12.29 5:51	2.2	35.67 N	126.34 E
08.12.19 21:53	2.2	37.36 N	129.83 E
08.12.19 17:53	3.5	36.49 N	129.68 E
08.12.18 23:38	2.3	36.47 N	129.66 E
08.12.11 19:31	2.7	40.38 N	126.87 E
08.12.8 8:49	2.4	35.14 N	124.62 E
08.12.7 18:02	2.3	37.79 N	125.02 E
08.12.7 2:28	2.4	36.45 N	129.56 E
08.11.11 23:37	2.5	38.56 N	125.66 E
08.11.11 21:30	3	38.55 N	125.67 E
08.11.11 21:20	3	38.54 N	125.65 E
08.11.5 18:12	2.3	37.07 N	129.11 E
08.10.29 9:26	3.4	36.35 N	127.25 E
08.10.8 11:04	2.1	38.12 N	127.11 E
08.9.20 11:24	2.8	34.11 N	125.02 E
08.9.13 12:05	2.5	35.6 N	126.99 E
08.9.11 10:46	2.4	38.08 N	127.12 E
08.9.8 15:35	2.6	34.57 N	128.25 E
08.9.4 0:44	3	35.13 N	125.04 E
08.8.20 14:45	2.2	35.72 N	125.69 E
08.7.27 21:48	2.2	34.45 N	128.08 E
08.7.27 17:13	2.4	39.4 N	126.03 E
08.7.23 19:29	3.2	34.49 N	128.04 E
08.7.22 23:11	2.5	35.31 N	129.74 E
08.7.4 20:48	2.5	39.3 N	127.19 E
