date	power	latitude	longitude
00.9.13 20:38	2.4	35.7 N	127.1 E
00.8.21 19:43	3.4	38.9 N	125.9 E
00.8.15 1:36	2.2	35.3 N	125.9 E
00.8.6 19:35	2.2	36.3 N	128.4 E
00.8.5 21:02	2.7	35.1 N	124.9 E
00.7.24 7:00	3	38.5 N	127.8 E
00.5.26 21:41	2.4	36.2 N	127.1 E
00.5.19 1:44	2.7	36.3 N	128.5 E
00.5.11 16:00	2.8	38.6 N	127.7 E
00.5.11 15:01	2.9	38.6 N	127.8 E
00.5.11 10:51	3.1	33.3 N	125.9 E
00.5.9 6:55	2.3	35.2 N	128.1 E
00.4.29 8:53	3.3	35.8 N	125.7 E
00.4.15 8:05	2.3	36.6 N	128.3 E
00.4.12 4:44	3.5	36.9 N	125.3 E
00.3.21 13:43	2.3	36.5 N	126.0 E
00.3.15 1:10	2.5	36.3 N	125.9 E
00.2.21 1:06	2.1	35.8 N	128.2 E
00.1.18 15:08	3	38.7 N	127.9 E
99.12.27 12:29	3	36.8 N	128.2 E
99.12.20 13:28	2.5	36.0 N	128.4 E
99.12.14 14:46	2.8	36.7 N	127.3 E
99.9.24 1:59	2.7	38.2 N	128.8 E
99.9.12 5:56	3.2	35.9 N	129.3 E
99.9.11 3:17	3.4	36.1 N	123.7 E
99.7.17 15:22	2.9	36.2 N	127.0 E
99.6.19 20:58	2.7	36.3 N	127.8 E
99.6.17 22:33	2.6	33.2 N	126.4 E
99.6.9 2:15	2.6	37.7 N	125.8 E
99.6.2 18:12	3.4	35.9 N	129.3 E
99.5.15 14:41	3.1	35.5 N	126.2 E
99.5.9 8:17	3.5	36.2 N	123.7 E
99.5.9 8:11	3.1	37.7 N	130.5 E
99.5.4 3:09	2.5	37.3 N	129.4 E
99.4.25 18:35	2.8	35.8 N	127.1 E
99.4.24 1:35	3.2	36.0 N	129.3 E
99.4.23 12:41	2.2	37.3 N	128.9 E
99.4.22 1:27	2	36.5 N	127.8 E
99.4.21 11:24	2.1	36.7 N	127.1 E
99.4.9 20:48	2.8	37.3 N	128.9 E
99.4.8 1:09	2.6	37.2 N	128.9 E
99.4.8 0:40	2.9	37.2 N	128.9 E
99.4.7 23:43	3.3	37.2 N	128.9 E
99.4.4 11:29	3.1	36.4 N	124.0 E
99.3.28 12:39	3	37.5 N	130.2 E
99.3.15 22:08	2.4	37.5 N	130.4 E
99.3.15 16:11	2.7	37.5 N	130.4 E
99.3.14 20:31	3.2	37.5 N	130.4 E
99.3.5 23:41	3.5	40.5 N	126.3 E
99.2.24 2:14	3.5	37.3 N	126.0 E
99.2.8 6:36	2.5	37.1 N	128.9 E
99.2.3 3:21	2.9	38.5 N	127.8 E
99.1.24 2:43	2.9	37.4 N	130.3 E
99.1.24 1:01	3.3	37.0 N	128.8 E
99.1.12 21:51	2.9	38.3 N	128.6 E
99.1.11 13:07	4.2	38.3 N	128.7 E
98.12.9 6:42	2.7	37.5 N	129.1 E
98.11.30 8:57	2.8	37.2 N	128.7 E
98.10.22 17:34	2.8	36.6 N	125.5 E
98.10.14 3:50	2.5	35.8 N	128.3 E
98.10.2 20:09	2.5	37.3 N	128.8 E
98.9.30 22:29	3.3	35.8 N	126.9 E
98.9.13 20:42	3.6	36.1 N	126.9 E
98.9.12 23:08	2.3	35.9 N	129.3 E
98.9.9 19:53	2.1	36.1 N	128.5 E
98.9.3 16:52	3.8	36.6 N	125.7 E
98.8.4 21:43	2.9	35.5 N	128.8 E
98.7.7 17:37	2.7	36.0 N	129.9 E
98.7.7 0:13	2.7	38.8 N	126.1 E
98.7.1 17:09	2	36.8 N	127.8 E
98.6.19 6:19	2.3	36.7 N	128.4 E
98.6.13 23:29	2.4	36.7 N	130.1 E
98.6.13 18:24	2.4	36.7 N	130.0 E
98.6.8 19:55	2.8	36.0 N	125.2 E
98.6.8 11:45	3.7	38.5 N	124.3 E
98.6.7 17:39	2.8	34.4 N	129.0 E
98.6.6 15:04	2.8	38.9 N	126.0 E
98.6.5 19:42	2.9	35.9 N	123.9 E
98.5.25 11:19	2.4	37.6 N	129.7 E
98.5.20 0:34	2.3	35.5 N	126.2 E
98.5.14 14:23	2.2	36.7 N	128.4 E
98.5.1 7:16	2.5	36.1 N	128.0 E
98.4.30 21:57	2.3	36.6 N	128.4 E
98.4.16 3:58	3.5	38.4 N	126.3 E
98.4.2 9:34	2.3	36.3 N	127.4 E
98.2.12 3:36	2.9	38.4 N	128.5 E
98.2.10 21:11	4.1	37.8 N	123.6 E
98.1.18 1:16	3.9	35.6 N	129.9 E
97.11.10 18:26	3	37.8 N	125.4 E
97.11.9 18:16	2.5	37.8 N	126.8 E
97.10.18 19:35	3	37.3 N	128.8 E
97.10.11 19:50	3.2	35.9 N	128.7 E
97.10.2 23:47	2.4	35.0 N	128.0 E
97.9.26 8:35	2.5	37.9 N	129.7 E
97.8.5 12:45	2.8	36.7 N	128.4 E
97.8.5 4:47	2.3	37.2 N	128.7 E
97.6.30 23:48	2.8	36.1 N	127.7 E
97.6.26 3:50	4.2	35.8 N	129.3 E
97.6.16 22:51	2.7	35.3 N	129.1 E
97.6.15 12:46	2.7	37.4 N	126.2 E
97.6.15 8:45	2.8	37.4 N	126.2 E
97.5.22 7:47	3.5	36.0 N	126.8 E
97.5.10 0:56	2.5	37.3 N	128.5 E
97.5.9 21:43	3	35.2 N	126.0 E
97.5.9 21:40	3.2	35.2 N	126.0 E
97.4.23 1:39	2.5	36.2 N	126.0 E
97.3.9 23:40	2.8	39.0 N	127.3 E
97.1.15 5:34	3.2	38.3 N	128.7 E
97.1.3 20:34	2.9	35.0 N	125.2 E
96.12.21 7:45	2.8	37.3 N	128.6 E
96.12.18 17:23	2.7	37.3 N	128.6 E
96.12.15 16:20	2.5	37.2 N	128.8 E
96.12.14 15:17	2.7	37.3 N	128.8 E
96.12.13 13:27	3	37.3 N	128.8 E
96.12.13 13:10	4.5	37.2 N	128.8 E
96.11.25 0:27	2.3	35.6 N	129.3 E
96.11.22 10:09	2.9	32.8 N	127.2 E
96.11.17 8:49	3.6	39.0 N	127.6 E
96.11.10 21:33	3.5	36.7 N	125.4 E
96.10.16 4:45	3.3	36.1 N	128.3 E
96.9.27 19:32	2.4	35.6 N	129.9 E
96.9.14 22:38	3.6	39.0 N	126.0 E
96.8.14 18:10	3	36.7 N	128.0 E
96.8.3 0:06	2.7	37.4 N	129.5 E
96.7.27 1:22	3	34.2 N	123.3 E
96.7.15 4:58	2.8	36.9 N	126.5 E
96.6.27 21:35	2.1	38.2 N	126.3 E
96.6.21 1:04	2.8	36.1 N	126.9 E
96.6.18 16:33	2.7	39.5 N	126.3 E
96.6.15 6:05	2.8	38.9 N	125.9 E
96.6.4 18:33	2.4	36.8 N	129.1 E
96.6.4 1:14	2.6	39.3 N	126.3 E
96.5.26 19:58	3.5	36.4 N	125.5 E
96.5.26 8:34	2.5	33.5 N	126.0 E
96.5.21 17:15	3.1	38.8 N	125.6 E
96.5.16 11:05	2.8	35.3 N	129.1 E
96.5.14 13:36	2.1	36.5 N	127.5 E
96.5.13 0:49	3	35.8 N	130.2 E
96.5.7 0:12	2.9	34.7 N	127.3 E
96.5.6 21:02	2.1	35.9 N	127.7 E
96.4.19 2:39	2.8	36.3 N	127.0 E
96.4.14 5:22	3.1	35.9 N	127.9 E
96.4.14 2:20	2.3	35.8 N	127.9 E
96.3.20 4:54	2.5	36.6 N	128.1 E
96.3.2 21:42	2.2	36.4 N	127.8 E
96.2.27 4:39	2.6	35.9 N	129.6 E
96.2.9 8:51	3.1	39.2 N	126.4 E
96.1.24 5:09	4.2	37.9 N	129.6 E
95.12.24 3:47	3	35.3 N	124.6 E
95.12.22 5:24	2.5	34.6 N	127.5 E
95.12.21 8:25	2.6	36.6 N	128.1 E
95.11.10 14:03	3	38.9 N	125.8 E
95.10.8 8:33	3.5	35.6 N	129.7 E
95.10.6 21:07	3.7	37.5 N	129.8 E
95.10.3 14:05	2.9	36.9 N	129.2 E
95.9.17 0:13	2.4	36.3 N	126.8 E
95.9.3 22:38	2.4	33.5 N	126.9 E
95.8.24 3:08	2.8	36.2 N	123.7 E
95.8.12 3:17	3.6	38.0 N	124.6 E
95.8.9 15:42	2.9	37.9 N	124.6 E
95.8.4 10:15	2.8	36.3 N	123.7 E
95.7.24 19:02	4.2	38.2 N	124.4 E
95.6.24 21:49	2.2	37.0 N	129.3 E
95.6.24 19:47	2.6	36.8 N	129.5 E
95.6.19 18:09	3	36.4 N	128.2 E
95.6.5 18:21	2.5	38.7 N	126.4 E
95.5.17 1:43	2.9	37.6 N	124.3 E
95.5.10 8:46	3.4	39.3 N	126.0 E
95.4.30 19:40	2.5	35.8 N	128.7 E
95.4.28 15:38	2.5	34.7 N	128.9 E
95.3.20 1:01	2.5	35.7 N	131.1 E
95.3.11 9:30	3	38.7 N	125.6 E
95.2.5 12:59	2.6	39.6 N	126.0 E
95.2.2 15:56	2.5	38.9 N	126.0 E
95.1.29 17:02	2.4	38.9 N	126.0 E
95.1.21 7:39	3.3	34.2 N	125.0 E
95.1.14 6:43	3	37.9 N	124.5 E
94.12.26 23:09	2.3	34.8 N	128.1 E
94.12.25 2:41	2.4	35.3 N	126.0 E
94.12.19 17:25	1.9	34.9 N	126.7 E
94.12.18 3:23	2	36.4 N	128.1 E
94.12.15 10:41	2.8	36.1 N	125.4 E
94.12.2 0:42	3.6	37.9 N	123.8 E
94.11.1 9:11	3.4	38.9 N	125.8 E
94.10.14 21:51	3.5	38.8 N	125.6 E
94.9.21 3:35	3.2	36.4 N	128.9 E
94.8.31 0:07	2.8	37.4 N	124.8 E
94.8.24 15:18	2.1	38.5 N	127.5 E
94.7.26 2:41	4.9	34.9 N	124.1 E
94.4.23 13:03	4.1	35.7 N	130.9 E
94.4.23 12:41	4.5	35.1 N	131.1 E
94.4.22 2:05	4.6	34.9 N	131.0 E
94.4.12 16:04	3.1	38.5 N	125.5 E
94.3.25 6:03	2.3	36.3 N	128.2 E
94.3.4 0:33	2.7	35.9 N	129.6 E
94.3.3 19:39	2.7	34.4 N	127.9 E
94.2.26 4:52	2.5	35.6 N	127.9 E
94.2.24 6:40	2.2	37.4 N	129.4 E
94.2.12 11:58	3.5	36.4 N	127.3 E
94.2.2 14:12	2	35.9 N	128.3 E
94.1.24 15:47	2.3	38.4 N	126.4 E
94.1.11 8:09	3	36.3 N	123.9 E
93.12.30 9:58	2.6	38.5 N	127.6 E
93.12.24 8:13	3.1	35.9 N	129.1 E
93.12.8 11:43	3.4	39.6 N	125.9 E
93.8.26 0:07	2.9	35.7 N	127.9 E
93.7.20 4:52	1.9	37.1 N	129.2 E
93.7.14 11:48	2.6	38.8 N	125.7 E
93.7.8 11:10	3.6	35.2 N	128.4 E
93.6.12 16:03	2.7	37.5 N	125.5 E
93.6.8 17:42	2.2	38.7 N	126.7 E
93.5.2 17:57	2.9	37.3 N	130.5 E
93.4.16 18:32	2.2	36.5 N	128.3 E
93.4.9 2:28	2.2	36.6 N	126.9 E
93.4.8 12:01	2.9	34.9 N	130.6 E
93.4.2 1:20	2.2	35.2 N	128.3 E
93.3.28 10:16	4.5	33.1 N	123.8 E
93.3.18 0:36	2.8	36.4 N	130.0 E
93.3.17 0:36	2.6	36.6 N	129.9 E
93.3.11 6:55	2.8	37.5 N	124.8 E
93.3.1 12:00	3.9	35.6 N	126.8 E
93.3.1 11:59	3.3	35.6 N	126.9 E
93.2.25 10:15	2.9	35.6 N	126.4 E
93.2.8 10:04	2.1	38.7 N	127.8 E
93.1.31 15:31	3.1	41.1 N	125.7 E
92.12.16 10:28	2.1	38.1 N	128.3 E
92.12.13 20:22	4	35.3 N	130.1 E
92.11.25 18:45	2.6	37.7 N	126.4 E
92.11.13 2:47	3.4	38.4 N	125.3 E
92.11.12 8:02	3.8	38.5 N	125.4 E
92.11.11 9:32	3.4	35.8 N	123.7 E
92.11.4 2:30	4.4	34.7 N	122.8 E
92.10.20 10:34	2.6	36.0 N	128.2 E
92.9.5 0:22	2.7	37.0 N	126.8 E
92.7.19 17:01	3.1	39.1 N	127.1 E
92.7.17 8:16	2.5	37.1 N	126.1 E
92.5.4 17:06	2.6	35.8 N	128.4 E
92.4.9 5:32	2.9	36.2 N	127.2 E
92.1.21 3:36	4	35.4 N	129.9 E
92.1.15 21:26	2	36.0 N	127.3 E
91.10.30 0:57	2.2	38.5 N	127.2 E
91.10.16 4:59	2.8	35.6 N	129.6 E
91.10.11 7:20	3.2	36.8 N	129.3 E
91.8.10 8:26	2.7	36.5 N	129.7 E
91.7.23 23:08	3.1	35.6 N	128.0 E
91.7.20 12:25	3.1	35.3 N	127.9 E
91.6.18 16:07	2.6	39.1 N	126.1 E
91.6.7 15:25	2.7	35.8 N	128.8 E
91.5.23 7:16	2.6	36.5 N	127.9 E
91.5.13 10:58	2	35.3 N	126.7 E
91.5.13 1:25	2.2	35.9 N	128.5 E
91.4.27 20:01	3	36.1 N	127.2 E
91.4.14 1:48	3.1	36.5 N	128.7 E
91.3.28 3:31	2.7	37.0 N	126.4 E
91.2.2 11:08	3.4	33.4 N	123.8 E
91.1.25 3:57	2.8	37.3 N	129.8 E
91.1.3 14:39	3.4	37.6 N	124.7 E
91.1.3 8:27	2.7	36.4 N	128.8 E
90.10.22 18:09	3.4	35.9 N	130.0 E
90.6.30 10:45	2.5	36.5 N	126.7 E
90.6.19 13:28	2.6	37.8 N	123.7 E
90.6.14 3:37	2.3	37.5 N	127.1 E
90.6.2 1:46	2.4	36.4 N	127.8 E
90.3.11 15:30	2.6	38.1 N	126.3 E
90.3.10 16:59	2.7	38.2 N	126.3 E
90.3.4 14:51	2.6	38.7 N	125.8 E
90.2.28 15:01	3.1	38.3 N	126.3 E
90.2.28 13:53	2.5	38.0 N	126.2 E
90.2.22 15:14	2.8	38.3 N	126.4 E
90.2.18 21:29	3.3	38.2 N	123.9 E
90.1.28 15:01	2.7	38.3 N	126.2 E
90.1.10 17:07	2.5	36.3 N	127.4 E
90.1.9 13:53	2.9	36.6 N	125.6 E
89.12.29 14:59	2.8	38.2 N	126.2 E
89.12.11 15:18	2.8	38.0 N	125.9 E
89.6.23 0:26	3.5	36.7 N	127.8 E
89.6.20 15:28	3.2	38.1 N	126.2 E
89.5.25 14:58	3.1	38.6 N	126.3 E
89.5.22 14:59	3.2	37.8 N	125.8 E
89.4.30 15:27	3.4	36.3 N	127.3 E
89.3.29 15:00	3.1	37.9 N	125.9 E
89.3.13 16:03	3.4	38.2 N	125.5 E
89.3.3 15:15	3.4	38.1 N	124.9 E
89.1.5 15:13	3.2	38.5 N	126.1 E
88.12.2 23:54	2.5	36.3 N	127.9 E
88.10.15 17:26	3.4	38.4 N	126.2 E
88.5.3 14:59	3.4	38.3 N	126.3 E
88.4.15 15:44	3.7	40.4 N	127.0 E
88.1.24 6:46	2.9	36.2 N	129.2 E
87.10.25 13:23	3.7	37.5 N	130.1 E
87.10.6 23:36	3.5	36.2 N	130.1 E
87.10.6 7:04	3.1	35.9 N	129.9 E
87.9.25 0:44	2.2	37.8 N	129.1 E
87.6.13 11:32	2.8	35.3 N	126.1 E
87.3.6 7:10	4	38.7 N	125.5 E
86.8.11 9:52	3.5	37.1 N	126.0 E
86.7.11 16:43	3.2	34.3 N	126.9 E
86.5.11 4:03	3.1	36.6 N	125.9 E
86.5.10 14:02	3.1	-	-
86.5.2 17:26	3	36.7 N	125.7 E
86.5.2 12:44	3.4	36.6 N	125.8 E
86.4.27 9:03	3.3	36.5 N	125.6 E
86.4.26 4:24	3.5	36.6 N	125.5 E
86.3.24 10:58	2.6	38.8 N	125.9 E
86.3.20 16:46	3.6	34.2 N	125.1 E
86.3.17 11:52	3.2	35.9 N	129.5 E
86.3.4 5:29	2.7	39.4 N	125.7 E
86.2.9 7:04	3.3	35.9 N	125.8 E
86.2.3 16:38	2.8	35.7 N	126.9 E
86.1.19 11:20	3	33.5 N	126.4 E
85.12.24 15:31	2.3	-	-
85.12.22 12:09	3	39.3 N	125.8 E
85.12.10 21:42	3.2	35.8 N	129.7 E
85.11.10 17:23	3.1	39.8 N	125.8 E
85.11.2 2:56	2.9	36.7 N	128.9 E
85.8.8 16:47	3.1	38.4 N	125.1 E
85.8.5 19:24	2.8	39.4 N	125.9 E
85.7.18 19:14	2.4	38.5 N	125.8 E
85.6.26 17:19	2.6	37.3 N	126.4 E
85.6.25 11:13	3.8	36.9 N	129.7 E
85.6.25 7:29	2.8	37.3 N	126.4 E
85.6.25 6:40	4	37.3 N	126.4 E
85.6.20 5:03	3.3	35.9 N	128.6 E
85.6.18 13:43	2.8	38.5 N	125.8 E
85.6.7 12:59	3.1	39.4 N	125.9 E
85.5.27 6:23	2.4	38.3 N	125.9 E
85.5.22 17:27	2.9	38.1 N	125.6 E
85.5.13 18:26	2.9	36.6 N	128.6 E
85.4.20 21:36	3.4	41.6 N	127.0 E
85.3.22 16:01	2.7	38.4 N	125.1 E
85.1.15 9:59	3.4	34.7 N	130.0 E
85.1.14 12:44	4.2	34.6 N	129.9 E
84.11.16 8:50	2.6	39.9 N	125.9 E
84.11.9 21:29	2.4	35.8 N	128.5 E
84.10.10 16:30	2.9	38.9 N	125.9 E
84.8.5 7:35	2.8	37.2 N	125.0 E
84.7.19 13:57	3.9	36.0 N	125.2 E
84.6.25 23:53	2.2	37.0 N	126.8 E
84.5.14 11:39	2.6	35.2 N	126.7 E
84.5.11 15:00	3.2	38.6 N	125.1 E
84.5.4 22:05	2.6	35.1 N	126.7 E
84.5.4 22:04	2.5	35.1 N	126.6 E
84.4.30 11:59	3.1	39.3 N	125.7 E
84.4.10 1:56	2.2	36.1 N	128.2 E
84.3.30 13:30	2.6	39.1 N	125.9 E
84.3.21 0:15	3.2	36.8 N	126.6 E
84.3.17 13:00	3	39.5 N	126.1 E
84.2.13 11:31	3.2	37.0 N	125.5 E
84.1.30 13:21	2.4	39.6 N	126.2 E
84.1.28 13:30	2.9	37.1 N	124.6 E
84.1.13 17:06	3	37.4 N	129.5 E
83.12.23 22:40	3	36.5 N	128.1 E
83.12.21 20:10	2.3	38.2 N	126.1 E
83.12.8 3:04	2.5	36.9 N	125.6 E
83.10.11 13:47	3.5	38.8 N	125.7 E
83.10.8 13:58	3.3	39.6 N	126.1 E
83.9.27 13:07	2.9	38.9 N	124.9 E
83.9.17 12:17	4.2	38.3 N	126.1 E
83.8.21 5:13	3.5	36.4 N	126.0 E
83.8.9 13:00	2.8	39.5 N	125.9 E
83.6.21 0:52	3	36.8 N	127.5 E
83.6.8 21:25	3.4	36.8 N	127.8 E
83.5.9 18:59	3.2	38.9 N	126.3 E
83.2.28 16:36	2.6	37.7 N	126.1 E
83.2.11 4:53	2.6	38.6 N	126.5 E
83.2.8 20:57	2.9	38.0 N	124.9 E
83.1.11 1:15	3.4	38.7 N	125.6 E
82.10.11 17:32	3.1	36.4 N	129.6 E
82.8.31 20:49	3.2	37.1 N	126.0 E
82.8.29 15:34	3.5	37.1 N	126.0 E
82.8.29 15:29	3.3	37.1 N	125.9 E
82.8.29 3:18	4	37.2 N	125.9 E
82.5.27 19:21	3.5	38.6 N	125.8 E
82.3.30 6:13	3	36.4 N	127.6 E
82.3.28 1:04	3.6	37.6 N	125.3 E
82.3.1 0:28	4.7	37.2 N	129.8 E
82.2.25 19:14	3.4	38.8 N	125.7 E
82.2.24 23:27	2.6	36.1 N	127.5 E
82.2.14 23:37	4.5	38.3 N	125.7 E
82.2.12 6:48	2.7	34.5 N	128.2 E
81.12.3 12:25	3	38.9 N	125.9 E
81.10.10 0:17	2.6	37.3 N	128.7 E
81.9.25 3:18	3.4	39.7 N	125.5 E
81.9.23 8:13	3.5	36.9 N	126.3 E
81.9.6 12:59	2.6	39.6 N	126.6 E
81.8.27 21:35	3.5	35.8 N	129.8 E
81.6.14 20:57	2.8	37.8 N	125.7 E
81.6.10 12:59	3	39.5 N	125.8 E
81.5.21 18:09	3	38.7 N	126.1 E
81.5.19 13:59	2.8	39.4 N	125.6 E
81.4.15 11:47	4.8	35.9 N	130.1 E
81.4.6 18:42	3.7	38.9 N	125.4 E
81.4.3 18:39	2.6	36.0 N	128.9 E
81.3.10 15:24	3	38.9 N	125.7 E
81.1.2 19:08	3.5	39.7 N	124.8 E
80.12.29 13:00	2.8	39.8 N	126.4 E
80.12.24 21:38	2.7	36.0 N	128.6 E
80.12.23 7:04	2.5	38.2 N	129.4 E
80.12.6 0:08	2.8	38.4 N	126.1 E
80.12.1 20:46	3	40.7 N	127.2 E
80.12.1 13:29	3.5	40.7 N	127.2 E
80.11.28 14:27	2.7	38.8 N	125.6 E
80.11.28 12:59	2.6	39.4 N	125.8 E
80.9.25 13:00	2.6	39.5 N	126.0 E
80.8.23 11:24	2.5	37.1 N	125.3 E
80.7.26 5:59	3.5	38.8 N	125.7 E
80.6.30 23:00	3.6	34.0 N	126.0 E
80.6.30 13:29	2.8	39.4 N	125.7 E
80.5.15 14:43	3.1	38.3 N	125.7 E
80.1.8 8:44	5.3	40.2 N	125.0 E
79.12.25 16:55	3.2	38.8 N	126.3 E
79.12.20 15:07	3	36.2 N	127.3 E
79.12.19 7:32	3.5	35.4 N	127.5 E
79.11.19 4:13	3.2	35.9 N	126.1 E
79.10.27 12:59	3.7	39.5 N	125.7 E
79.10.10 6:59	3.1	38.9 N	125.7 E
79.8.30 0:39	3	38.3 N	127.9 E
79.8.24 8:30	3.8	36.6 N	124.0 E
79.8.18 16:34	2.4	37.0 N	126.4 E
79.8.14 10:05	2.5	39.5 N	125.8 E
79.8.13 12:12	3.5	36.3 N	128.5 E
79.4.24 5:44	3	36.8 N	128.5 E
79.4.9 8:49	3.3	39.7 N	125.7 E
79.3.12 11:09	3.8	36.6 N	126.7 E
79.2.24 19:00	2.9	36.6 N	126.7 E
79.2.24 14:44	2.7	38.3 N	125.1 E
79.2.8 8:52	4	36.6 N	126.7 E
79.2.4 9:29	3.7	38.4 N	125.7 E
79.1.30 0:33	3	36.1 N	128.3 E
79.1.29 10:06	3.3	38.3 N	126.0 E
79.1.24 0:40	3	35.7 N	126.0 E
79.1.1 0:11	2.9	36.6 N	126.7 E
78.12.12 21:58	3.3	35.9 N	126.3 E
78.12.4 15:16	2.8	37.4 N	128.7 E
78.11.23 11:06	4.6	38.4 N	125.6 E
78.10.7 18:19	5	36.6 N	126.7 E
78.9.16 2:07	5.2	36.6 N	127.9 E
78.8.30 2:29	4.5	39.1 N	124.2 E
